DR1F DR1H DR1O 
SG2F SP3F SR1F 
SR2F SR2H SR2O 
SG3O SP1O SR2O 
SG3F SP1H SR2O 
SG3H SP1F SR2O 
SG2O SP2O SR2O 
SG2F SP2H SR2O 
SG2H SP2F SR2O 
SG1O SP3O SR2O 
SG1F SP3H SR2O 
SG1H SP3F SR2O 
SG3F SP1O SR2H 
SG3H SP1H SR2H 
SG3O SP1F SR2H 
SG2F SP2O SR2H 
SG2H SP2H SR2H 
SG2O SP2F SR2H 
SG1F SP3O SR2H 
SG1H SP3H SR2H 
SG1O SP3F SR2H 
SG3H SP1O SR2F 
SG3O SP1H SR2F 
SG3F SP1F SR2F 
SG2H SP2O SR2F 
SG2O SP2H SR2F 
SG2F SP2F SR2F 
SG1H SP3O SR2F 
SG1O SP3H SR2F 
SG1F SP3F SR2F 
SR3F SR3H SR3O 
SG2O SP1O SR3O 
SG2F SP1H SR3O 
SG2H SP1F SR3O 
SG1O SP2O SR3O 
SG1F SP2H SR3O 
SG1H SP2F SR3O 
SG3O SP3O SR3O 
SG3F SP3H SR3O 
SG3H SP3F SR3O 
SG2F SP1O SR3H 
SG2H SP1H SR3H 
SG2O SP1F SR3H 
SG1F SP2O SR3H 
SG1H SP2H SR3H 
SG1O SP2F SR3H 
SG3F SP3O SR3H 
SG3H SP3H SR3H 
SG3O SP3F SR3H 
SG2H SP1O SR3F 
SG2O SP1H SR3F 
SG2F SP1F SR3F 
SG1H SP2O SR3F 
SG1O SP2H SR3F 
SG1F SP2F SR3F 
SG3H SP3O SR3F 
SG3O SP3H SR3F 
SG3F SP3F SR3F 
SP1F SP1H SP1O 
SP3O SP2O SP1O 
SP3F SP2H SP1O 
SP3H SP2F SP1O 
SP3F SP2O SP1H 
SP3H SP2H SP1H 
SP3O SP2F SP1H 
SP3H SP2O SP1F 
SP3O SP2H SP1F 
SP3F SP2F SP1F 
SP2F SP2H SP2O 
SP3F SP3H SP3O 
SG1F SG1H SG1O 
SG3O SG2O SG1O 
SG3F SG2H SG1O 
SG3H SG2F SG1O 
SG3F SG2O SG1H 
SG3H SG2H SG1H 
SG3O SG2F SG1H 
SG3H SG2O SG1F 
SG3O SG2H SG1F 
SG3F SG2F SG1F 
SG2F SG2H SG2O 
SG3F SG3H SG3O 
Time: 00:00:00.2054399
